ZONE,PER,QUANTITY
1,PER01,3
1,PER02,2
1,PER03,4
1,PER04,5
1,PER05,7
1,PER06,18
1,PER07,25
1,PER08,43
1,PER09,58
1,PER10,82
1,PER11,93
1,PER12,107
1,PER13,122
1,PER14,142
1,PER15,151
1,PER16,166
1,PER17,155
1,PER18,167
1,PER19,174
1,PER20,177
1,PER21,168
1,PER22,156
1,PER23,158
1,PER24,157
1,PER25,140
1,PER26,144
1,PER27,124
1,PER28,115
1,PER29,121
1,PER30,126
1,PER31,122
1,PER32,136
1,PER33,149
1,PER34,144
1,PER35,123
1,PER36,90
1,PER37,61
1,PER38,40
1,PER39,33
1,PER40,24
1,PER41,8
1,PER42,4
1,PER43,2
1,PER44,2
1,PER45,2
1,PER46,2
1,PER47,0
1,PER48,0
2,PER01,0
2,PER02,2
2,PER03,3
2,PER04,5
2,PER05,11
2,PER06,20
2,PER07,31
2,PER08,50
2,PER09,85
2,PER10,112
2,PER11,133
2,PER12,143
2,PER13,147
2,PER14,162
2,PER15,172
2,PER16,190
2,PER17,200
2,PER18,205
2,PER19,220
2,PER20,225
2,PER21,210
2,PER22,193
2,PER23,190
2,PER24,192
2,PER25,183
2,PER26,198
2,PER27,196
2,PER28,188
2,PER29,187
2,PER30,172
2,PER31,155
2,PER32,145
2,PER33,137
2,PER34,122
2,PER35,101
2,PER36,92
2,PER37,84
2,PER38,70
2,PER39,48
2,PER40,35
2,PER41,26
2,PER42,17
2,PER43,12
2,PER44,6
2,PER45,3
2,PER46,3
2,PER47,4
2,PER48,3
3,PER01,4
3,PER02,9
3,PER03,11
3,PER04,33
3,PER05,63
3,PER06,103
3,PER07,189
3,PER08,425
3,PER09,853
3,PER10,1327
3,PER11,1551
3,PER12,1582
3,PER13,1671
3,PER14,1726
3,PER15,1797
3,PER16,1848
3,PER17,1860
3,PER18,1936
3,PER19,1947
3,PER20,1969
3,PER21,1937
3,PER22,1925
3,PER23,1935
3,PER24,1948
3,PER25,1809
3,PER26,1679
3,PER27,1485
3,PER28,1310
3,PER29,1206
3,PER30,1163
3,PER31,1176
3,PER32,1145
3,PER33,1087
3,PER34,960
3,PER35,825
3,PER36,647
3,PER37,498
3,PER38,384
3,PER39,280
3,PER40,183
3,PER41,122
3,PER42,84
3,PER43,60
3,PER44,43
3,PER45,40
3,PER46,34
3,PER47,24
3,PER48,10
4,PER01,1
4,PER02,0
4,PER03,0
4,PER04,2
4,PER05,13
4,PER06,16
4,PER07,42
4,PER08,69
4,PER09,116
4,PER10,177
4,PER11,191
4,PER12,205
4,PER13,209
4,PER14,214
4,PER15,229
4,PER16,232
4,PER17,242
4,PER18,276
4,PER19,278
4,PER20,277
4,PER21,274
4,PER22,262
4,PER23,247
4,PER24,261
4,PER25,246
4,PER26,236
4,PER27,228
4,PER28,214
4,PER29,234
4,PER30,249
4,PER31,248
4,PER32,244
4,PER33,260
4,PER34,199
4,PER35,152
4,PER36,120
4,PER37,100
4,PER38,77
4,PER39,51
4,PER40,49
4,PER41,30
4,PER42,18
4,PER43,14
4,PER44,10
4,PER45,10
4,PER46,7
4,PER47,2
4,PER48,2
5,PER01,2
5,PER02,2
5,PER03,1
5,PER04,6
5,PER05,19
5,PER06,23
5,PER07,36
5,PER08,71
5,PER09,106
5,PER10,145
5,PER11,191
5,PER12,213
5,PER13,220
5,PER14,214
5,PER15,231
5,PER16,242
5,PER17,243
5,PER18,285
5,PER19,319
5,PER20,348
5,PER21,309
5,PER22,289
5,PER23,291
5,PER24,285
5,PER25,288
5,PER26,274
5,PER27,265
5,PER28,272
5,PER29,281
